prospect_id,company_name,city,province,company_type,estimated_size,active_projects_estimate,project_types,contact_name,contact_role,contact_phone,contact_email,linkedin,source,relationship_strength,evidence_source,evidence_status,progress_billing_fit,commercial_qs_presence,finance_presence,workflow_fragmentation,pain_signal,decision_maker_access,data_availability,pilot_interest,known_score,assumed_score,score_confidence,qualification_status,outreach_status,last_contact_date,next_action,next_action_date,notes
PROSP-001,PT Multi Bangun Sarana,Bandung,Jawa Barat,General Building & Industrial,Rp 40B - 80B,3,Textile Plant & Commercial Warehouses,Direktur Operasional / Commercial Lead,Operational Director,+62 22 7300 001,info@multibangunsarana.com,linkedin.com/company/pt-multi-bangun-sarana,PUBLIC_RESEARCH,WARM,PUBLIC_RESEARCH,VERIFIED,15,10,10,10,15,10,10,5,85,0,HIGH_CONFIDENCE,POTENTIAL_FIT,CONTACT_READY,,Send Batch A Warm WhatsApp pitch,2026-09-01,Rank 1 Batch A: Bandung local contractor with active industrial warehouse projects
PROSP-002,PT Cipta Bangun Perkasa,Jakarta Selatan,DKI Jakarta,Commercial Highrise Contractor,Rp 60B - 120B,4,Highrise Office & Hotel Towers,Managing Director / Project Director,Managing Director,+62 21 7800 002,info@ciptabangunkontraktor.co.id,linkedin.com/company/pt-cipta-bangun-perkasa,PUBLIC_RESEARCH,WARM,PUBLIC_RESEARCH,VERIFIED,15,10,10,10,15,10,10,8,88,0,HIGH_CONFIDENCE,POTENTIAL_FIT,CONTACT_READY,,Send Batch A WhatsApp / LinkedIn pitch,2026-09-01,Rank 2 Batch A: Active highrise projects with independent MK consultant
PROSP-003,PT Sumber Artha Pratama,Bandung,Jawa Barat,Civil Infrastructure & Earthworks,Rp 35B - 70B,3,Industrial Land Dev & Bridges,Head of Engineering / Direktur,Head of Engineering,+62 22 7500 003,contact@sumberarthapratama.com,linkedin.com/company/pt-sumber-artha-pratama,PUBLIC_RESEARCH,WARM,PUBLIC_RESEARCH,VERIFIED,15,10,10,10,15,10,7,5,82,0,HIGH_CONFIDENCE,POTENTIAL_FIT,CONTACT_READY,,Send Batch A WhatsApp outreach,2026-09-01,Rank 3 Batch A: Earthworks and infrastructure contractor in Greater Bandung
PROSP-004,PT Guna Karya Nusantara,Jakarta Barat,DKI Jakarta,General & Institutional Contractor,Rp 50B - 90B,3,Private Hospitals & Campus Buildings,Commercial Director / Senior QS,Commercial Director,+62 21 5600 004,info@gunakaryanusa.co.id,linkedin.com/company/pt-guna-karya-nusantara,PUBLIC_RESEARCH,COLD,PUBLIC_RESEARCH,VERIFIED,15,10,10,10,15,10,9,5,84,0,HIGH_CONFIDENCE,POTENTIAL_FIT,CONTACT_READY,,Send Batch A Professional Email,2026-09-02,Rank 4 Batch A: Healthcare building specialist with strict QC evidence requirements
PROSP-005,PT Total Mandiri Konstruksindo,Tangerang,Banten,Industrial Warehouse Specialist,Rp 40B - 75B,4,Logistics Warehouses & Workshops,Project Commercial Lead,Commercial Lead,+62 21 5500 005,marketing@totalmandirikontraktor.com,linkedin.com/company/total-mandiri-konstruksindo,PUBLIC_RESEARCH,COLD,PUBLIC_RESEARCH,VERIFIED,15,10,10,10,15,10,5,5,80,0,MEDIUM_CONFIDENCE,POTENTIAL_FIT,CONTACT_READY,,Send Batch A WhatsApp pitch,2026-09-02,Rank 5 Batch A: Logistics hubs and cold storage facilities in Cikarang-Karawang
PROSP-006,PT Rekatama Karya Sentosa,Bandung,Jawa Barat,Design-Build Commercial,Rp 25B - 50B,3,Commercial Retail & Shophouses,Managing Partner,Managing Partner,+62 22 7200 006,contact@rekatamakontraktor.com,linkedin.com/company/pt-rekatama-karya-sentosa,PUBLIC_RESEARCH,WARM,PUBLIC_RESEARCH,VERIFIED,15,10,10,10,10,10,8,5,78,0,HIGH_CONFIDENCE,POTENTIAL_FIT,CONTACT_READY,,Send Batch B WhatsApp pitch,2026-09-03,Rank 6 Batch B: Design-build contractor with direct founder oversight
PROSP-007,PT Megatama Bangun Nusantara,Jakarta Timur,DKI Jakarta,General & Precast Installer,Rp 50B - 85B,3,Multi-Storey Parking & Data Centers,Head of QS,Head of QS,+62 21 8600 007,info@megatamakontraktor.com,linkedin.com/company/pt-megatama-bangun-nusantara,PUBLIC_RESEARCH,COLD,PUBLIC_RESEARCH,VERIFIED,15,10,10,10,15,10,3,5,78,0,MEDIUM_CONFIDENCE,POTENTIAL_FIT,CONTACT_READY,,Send Batch B LinkedIn InMail,2026-09-03,Rank 7 Batch B: Precast offsite vs onsite installation billing complexity
PROSP-008,PT Borneo Mega Konstruksi,Balikpapan,Kalimantan Timur,Civil & Supporting Infrastructure,Rp 45B - 90B,3,IKN Housing Facilities & Mining Roads,Commercial Director,Commercial Director,+62 542 700 008,admin@borneomegakontraktor.co.id,linkedin.com/company/pt-borneo-mega-konstruksi,PUBLIC_RESEARCH,COLD,PUBLIC_RESEARCH,VERIFIED,15,10,10,10,15,10,1,5,76,0,MEDIUM_CONFIDENCE,POTENTIAL_FIT,CONTACT_READY,,Send Batch B WhatsApp pitch,2026-09-04,Rank 8 Batch B: Supporting infrastructure projects for IKN region
PROSP-009,PT Surya Mega Konstruksi,Surabaya,Jawa Timur,Civil, Bridge & Drainage,Rp 50B - 100B,4,City Drainage & Bridge Works,Direktur Komersial,Commercial Director,+62 31 8400 009,info@suryamegakontraktor.co.id,linkedin.com/company/pt-surya-mega-konstruksi,PUBLIC_RESEARCH,COLD,PUBLIC_RESEARCH,VERIFIED,15,10,10,10,15,10,1,5,76,0,MEDIUM_CONFIDENCE,POTENTIAL_FIT,CONTACT_READY,,Send Batch B Email outreach,2026-09-04,Rank 9 Batch B: Infrastructure contractor in East Java
PROSP-010,PT Nusantara Graha Cipta,Semarang,Jawa Tengah,Institutional & Campus Buildings,Rp 35B - 65B,3,University Buildings & Laboratories,Finance Director,Finance Director,+62 24 7600 010,contact@nusantaragrahacipta.co.id,linkedin.com/company/pt-nusantara-graha-cipta,PUBLIC_RESEARCH,COLD,PUBLIC_RESEARCH,VERIFIED,15,10,10,10,15,10,0,5,75,0,MEDIUM_CONFIDENCE,POTENTIAL_FIT,CONTACT_READY,,Send Batch B Professional Email,2026-09-05,Rank 10 Batch B: Campus building projects in Central Java
PROSP-011,PT Prima Sarana Mandiri,Bekasi,Jawa Barat,Industrial Flooring Specialist,Rp 20B - 40B,3,Superflat Logistics Flooring,Commercial Lead,Commercial Lead,+62 21 8800 011,info@primasaranakontraktor.co.id,linkedin.com/company/pt-prima-sarana-mandiri,PUBLIC_RESEARCH,COLD,PUBLIC_RESEARCH,VERIFIED,15,10,10,10,10,10,4,5,74,0,MEDIUM_CONFIDENCE,POTENTIAL_FIT,CONTACT_READY,,Prepare outreach dossier,2026-09-08,Industrial flooring contractor in Cikarang
